t,i,k,hs02_desc,section,section_name,v,share
2021,398,30211,"Fish: trout (salmo trutta, oncorhynchus mykiss, oncorhynchus clarki, oncorhynchus aguabonita, oncorhynchus gilae, oncorhynchus apache and oncorhynchus chrysogaster), fresh or chilled (excluding fillets, livers, roes, other fish meat of heading no. 0304)",1,Live animals; animal products,59.38,1.0981617937938845e-6
2021,398,30212,"Fish: Pacific salmon (oncorhynchus nerka/gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), Atlantic salmon (salmo salar), Danube salmon (hucho hucho), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1,Live animals; animal products,19.032,3.519739855083397e-7
2021,398,30219,"Fish: salmonidae, fresh or chilled, n.e.s. in item no. 0302.1 (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1,Live animals; animal products,4.285,7.924592937700902e-8
2021,398,30239,"Fish: tuna, fresh or chilled, n.e.s. in item no. 0302.3 (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1,Live animals; animal products,2.316,4.28316388418093e-8
2021,398,30261,"Fish: sardines (sardina pilchardus, sardinops spp.), sardinella (sardinella spp.), brisling or sprats (sprattus sprattus), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1,Live animals; animal products,0.721,1.3334029190390548e-8
2021,398,30269,"Fish: fresh or chilled, n.e.s. in heading no. 0302 (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1,Live animals; animal products,556.859,1.0298438503372665e-5
2021,398,30270,"Fish: livers and roes, fresh or chilled",1,Live animals; animal products,6.204,1.1473552995448399e-7
2021,398,30321,"Fish: trout (salmo trutta, oncorhynchus mykiss, oncorhynchus clarki, oncorhynchus aguabonita, oncorhynchus gilae, oncorhynchus apache and oncorhynchus chrysogaster), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1,Live animals; animal products,300.448,5.556424968369569e-6
2021,398,30322,"Fish: Atlantic salmon (salmo salar) and Danube salmon (hucho hucho), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1,Live animals; animal products,78.209,1.4463815380738619e-6
2021,398,30329,"Fish: salmonidae, frozen, n.e.s. in item no. 0302.1 and 0302.2 (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1,Live animals; animal products,6.022,1.11369658508366e-7
2021,398,30332,"Fish: plaice (pleuronectes platessa), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1,Live animals; animal products,0.101,1.8678737146039465e-9
2021,398,30339,"Fish: flat fish, frozen, n.e.s. in item no. 0303.3 (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1,Live animals; animal products,17.602,3.255278527174125e-7
2021,398,30350,"Fish: herrings (clupea harengus, clupea pallasii), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1,Live animals; animal products,13.537,2.503505591543923e-7
2021,398,30371,"Fish: sardines (sardina pilchardus, sardinops spp.), sardinella (sardinella spp.), brisling or sprats (sprattus sprattus), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1,Live animals; animal products,1.419,2.6242701000227722e-8
2021,398,30374,"Fish: mackerel (scomber scombrus, scomber australasicus, scomber japonicus), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1,Live animals; animal products,144.432,2.6710963994819523e-6
