t,i,j,name,k,hs02_desc,v,q
2021,398,156,People's Republic of China,720917,"Iron or non-alloy steel: in coils, flat-rolled, width 600mm or more, cold-rolled, of a thickness of 0.5mm or more but not exceeding 1mm",3157.25,     4743.100
2021,398,156,People's Republic of China,720839,"Iron or non-alloy steel: in coils, without patterns in relief, flat-rolled, of a width 600mm or more, hot-rolled, of a thickness of less than 3mm",2606.107,     5124.380
2021,398,156,People's Republic of China,40221,"Dairy produce: milk and cream, concentrated, not containing added sugar or other sweetening matter, in powder, granules or other solid forms, of a fat content exceeding 1.5% (by weight)",2399.861,      199.189
2021,398,156,People's Republic of China,720916,"Iron or non-alloy steel: in coils, flat-rolled, width 600mm or more, cold-rolled, of a thickness exceeding 1mm but less than 3mm",2282.76,     3397.650
2021,398,156,People's Republic of China,720927,"Iron or non-alloy steel: (not in coils), flat-rolled, width 600mm or more, cold-rolled, of a thickness of 0.5mm or more but not exceeding 1mm",2202.663,     4013.042
2021,398,156,People's Republic of China,740321,Copper: copper-zinc base alloys (brass) unwrought,2014.37,      331.090
2021,398,156,People's Republic of China,110100,Wheat or meslin flour,1916.663,     5158.100
2021,398,156,People's Republic of China,252400,Asbestos,1730.877,     7831.000
2021,398,156,People's Republic of China,720837,"Iron or non-alloy steel: in coils, without patterns in relief, flat-rolled, of a width 600mm or more, hot-rolled, of a thickness of 4.75mm or more but not exceeding 10mm",1679.988,     3180.910
2021,398,156,People's Republic of China,510220,"Hair: coarse animal hair, not carded or combed",1615.168,     1686.629
2021,398,156,People's Republic of China,51191,"Animal products: of fish or crustaceans, molluscs or other aquatic invertebrates and dead animals of chapter 3, unfit for human consumption",1490.352,      593.098
2021,398,156,People's Republic of China,720853,"Iron or non-alloy steel: (not in coils), flat-rolled, of a width 600mm or more, hot-rolled, without patterns in relief, of a thickness of 3mm or more but less than 4.75mm",1263.755,     2538.310
2021,398,156,People's Republic of China,810720,"Cadmium: unwrought, powders",1181.938,      643.142
2021,398,156,People's Republic of China,320290,"Tanning substances: inorganic tanning substances: tanning preparations, whether or not containing natural tanning substances: enzymatic preparations for pre- tanning",1020.969,     1355.200
2021,398,156,People's Republic of China,281910,Chromium trioxide,823.257,      342.000
2021,398,156,People's Republic of China,720854,"Iron or non-alloy steel: (not in coils), flat-rolled, of a width 600mm or more, hot-rolled, without patterns in relief, of a thickness of less than 3mm",740.811,     1517.930
2021,398,156,People's Republic of China,410441,"Tanned or crust hides and skins: bovine or equine, without hair on, in the dry state (crust), full grains, unsplit: grain splits",632.505,      129.373
2021,398,156,People's Republic of China,170490,"Sugar confectionery: (excluding chewing gum, including white chocolate), not containing cocoa",584.458,      468.018
2021,398,156,People's Republic of China,230990,"Dog or cat food: (not put up for retail sale), used in animal feeding",564.517,     2211.320
2021,398,156,People's Republic of China,880330,Aircraft and spacecraft: parts of aeroplanes or helicopters n.e.s. in heading no. 8803,507.199,        0.135
2021,398,156,People's Republic of China,721012,"Iron or non-alloy steel: flat-rolled, width 600mm or more, plated or coated with tin, thickness of less than 0.5mm",472.172,      656.370
