t,Kazakhstan,Kyrgyz Republic,Russian Federation,Saudi Arabia,Uzbekistan
2005,0.2961442273129523,0.11031363266055877,0.16766175645580825,0.5011034077592483,0.11442007950412215
2010,0.4013963681565068,0.17663944914349128,0.17619260536033565,0.47043678185221854,0.07944383765399858
2015,0.3375234349247157,0.19332617341421043,0.12752965088938542,0.3206610698427371,0.12746454074813046
2021,0.18216936859607355,0.252389267641502,0.0931746669612832,0.3188519064515036,0.11659965270910926
