s,i,t,current_level,current_growth,constant_level,constant_growth,name_short
49,16,2010,1.295928373534902,0.4349155984015243,1.295928373534902,0.32726276874021387,Other manufacturing
49,16,2011,6.828008132508192,4.2688159870158895,6.220384634484475,3.7999447820693515,Other manufacturing
49,16,2012,5.732263089776062,-0.16047799321082823,5.1451151647371915,-0.17286221559133508,Other manufacturing
49,16,2013,4.514253726588124,-0.2124831578927967,4.027864844165201,-0.21714777702727261,Other manufacturing
49,16,2014,9.768688889831195,1.1639654041365497,9.23121363179695,1.291837980901808,Other manufacturing
49,16,2015,10.241696886068214,0.048420827152086066,11.577102124719751,0.2541256855807539,Other manufacturing
49,16,2016,14.459382219558512,0.411815090839841,18.762333408357698,0.6206416084294395,Other manufacturing
49,16,2017,16.58310187913528,0.14687485449441384,18.688860227978402,-0.003915993750892799,Other manufacturing
49,16,2018,25.919284040566378,0.562993716704943,28.151758086373096,0.5063389496716413,Other manufacturing
49,16,2019,30.95124827106534,0.19413978498107487,34.44833184272863,0.223665383065486,Other manufacturing
49,16,2020,18.143833650477298,-0.41379315329782695,19.984054144642705,-0.4198832548444301,Other manufacturing
49,16,2021,11.476693913946564,-0.36746036504558377,11.014506433369192,-0.4488352386534169,Other manufacturing
49,16,2022,7.5977602110166735,-0.33798354578544443,5.822400318040062,-0.4713879960702818,Other manufacturing
49,17,2007,24.566464881560428,NA,31.172690623849004,NA,Utilities
49,17,2008,26.204826083914742,0.0666909630772341,25.665258154364892,-0.1766749151024708,Utilities
49,17,2009,18.594973734754227,-0.2903988877770747,21.640608101302252,-0.15681315297341625,Utilities
49,17,2010,11.644361762630501,-0.37378982467358635,11.644361762630501,-0.4619207691335723,Utilities
49,17,2011,5.271827600513031,-0.5472634990239167,4.616290484591185,-0.6035600251268431,Utilities
49,17,2012,32.127279662039356,5.094144592079011,27.346459292342697,4.9239034856283475,Utilities
49,17,2013,74.31006858068125,1.3129897508404307,62.04254637302114,1.2687597582475227,Utilities
49,17,2014,90.05090190339543,0.21182638669783715,80.79360840562873,0.30222908518083313,Utilities
49,17,2015,53.84951995841075,-0.4020102095570425,61.20829894878642,-0.2424116194750604,Utilities
49,17,2016,41.43037155399058,-0.23062691021223158,56.70408380206981,-0.07358830786141157,Utilities
49,17,2017,74.34684906814627,0.794501142024761,90.42288284111645,0.5946449845966091,Utilities
49,17,2018,60.3667748004333,-0.18803855769191835,68.39665609915261,-0.24359129072080665,Utilities
49,17,2019,62.54375583604217,0.0360625698955388,73.77038985730606,0.0785671999865507,Utilities
49,17,2020,37.47448072799064,-0.40082778485146286,46.423519542241856,-0.37070253211296844,Utilities
49,17,2021,43.613990741929904,0.1638317568294818,47.01238403834114,0.01268461551183031,Utilities
49,17,2022,38.40480314142678,-0.1194384533927797,39.517941777983985,-0.15941421422587354,Utilities
49,18,2007,1.8780112232563029,NA,2.0748438416961124,NA,Construction
49,18,2008,6.541301606606714,2.483100380659432,6.488399494739733,2.127174857378998,Construction
49,18,2009,2.205320964281874,-0.6628620575980628,2.4607699611469784,-0.6207431488856426,Construction
49,18,2010,5.837401216574341,1.6469621933128424,5.837401216574341,1.3721848481332635,Construction
49,18,2011,12.710362743568073,1.177400913865418,11.872452207624786,1.03385920671598,Construction
49,18,2012,6.009238473790392,-0.5272173898552742,5.528322159557123,-0.534357177196578,Construction
49,18,2013,24.23823763146413,3.0334957145036716,21.641509044470777,2.914661342059792,Construction
49,18,2014,74.52095104336541,2.074520193111248,71.64237971878094,2.31041516428287,Construction
49,18,2015,85.31966091599128,0.14490837437570891,100.31855777959399,0.40026836313053993,Construction
49,18,2016,92.0034783075339,0.0783385367427063,132.54702077451572,0.32126122731678053,Construction
49,18,2017,63.12664210933012,-0.3138667877499055,87.26549521207397,-0.3416261285832525,Construction
49,18,2018,32.62121976167568,-0.48324164454718777,45.40951639602941,-0.4796395037273954,Construction
49,18,2019,41.672907518077494,0.2774785192746221,66.07040166998922,0.4549902072017309,Construction
49,18,2020,35.27496956951076,-0.15352751534774345,59.29122996845531,-0.10260527452814283,Construction
49,18,2021,45.74191307571952,0.2967243808838227,78.26647274527207,0.3200345613830604,Construction
49,18,2022,25.220931013606577,-0.4486253565333669,39.52447802977159,-0.4950011589456842,Construction
49,19,2007,13.249318437098621,NA,16.55168659413876,NA,Sale of motor vehicles
49,19,2008,27.148384292060296,1.04904006352838,28.039830168294,0.6940769152929338,Sale of motor vehicles
49,19,2009,18.268492380459346,-0.32708730715138457,21.025559790947174,-0.25015381103406975,Sale of motor vehicles
49,19,2010,24.616560599924256,0.34748725221874555,24.616560599924256,0.17079216176319045,Sale of motor vehicles
49,19,2011,20.182071826555717,-0.18014250022329215,17.294529237905635,-0.2974433139145015,Sale of motor vehicles
49,19,2012,0.7375165027916424,-0.9634568487749997,0.6155225645437626,-0.9644094062303425,Sale of motor vehicles
49,19,2013,420.0036719061921,568.4837611313063,345.6644549220227,560.5788515864336,Sale of motor vehicles
49,19,2014,36.76713418112174,-0.9124599696610898,32.325680969072486,-0.9064824846501364,Sale of motor vehicles
49,19,2015,13.725670490490021,-0.6266864199185388,13.468825278175032,-0.5833397820432213,Sale of motor vehicles
49,19,2016,20.68049069745795,0.5067016734655443,25.817981231441234,0.9168695634709028,Sale of motor vehicles
49,19,2017,12.41236585684644,-0.39980312660704087,13.834374688432394,-0.46415738068688184,Sale of motor vehicles
49,19,2018,11.14201886934728,-0.10234527423299067,12.146226374078283,-0.12202563197638816,Sale of motor vehicles
49,19,2019,12.659985712166085,0.13623804272983886,14.29355419376671,0.17678970847037068,Sale of motor vehicles
49,19,2020,17.00069212280277,0.3428681919020906,19.220431146493397,0.34469222181808723,Sale of motor vehicles
