t,GVCP_trade_f,GVCP_trade_b,GVCP_prod
2000,0.3309824488798067,0.21831982945495815,0.4279673333494917
2007,0.328236821558673,0.14235775612661786,0.394223352853902
2008,0.3194736955635026,0.15896574365551858,0.4574748857776103
2009,0.3097770267489437,0.14314131225786414,0.3316042941267018
2010,0.3409341270608644,0.10055753307179328,0.38488664118009697
2011,0.36864024699376946,0.09399991073965154,0.45342961449876235
2012,0.3506828016052886,0.12346576283181786,0.4139763656805354
2013,0.35929559387889815,0.10211255212874508,0.35771465852966616
2014,0.3729524141297153,0.10760688392986714,0.35448144603025517
2015,0.3475468871904889,0.09199953945026355,0.24530168065463048
2016,0.33660800281973885,0.1314982446731341,0.2607896696638755
2017,0.3647946117090533,0.11196133367907816,0.2917023597192093
2018,0.3650586107959254,0.11249781024869872,0.31410222784491915
2019,0.3251316421941538,0.1182574817347822,0.30629812520994365
2020,0.29526259466692556,0.10744475013170036,0.2589529161309081
2021,0.3593163353966396,0.10661629095654757,0.28235182954067006
2022,0.3754941107070815,0.0916493594857068,0.2737332181388062
