s,i,sector,Exports,DAVAX,REX,REF,FVA,PDC
49,1,Agriculture,2194.4040201972125,1469.669117550585,563.1767095738019,1.8490788610443614,159.29984556253982,0.40926864924142525
49,2,Mining,39869.70438869491,18582.84785164078,17479.118869118396,32.21811426767324,3762.7850310040026,12.73452266404901
49,3,Food & beverages,1364.2657612565404,1052.9889823308986,187.90046763521917,1.0289542483206437,122.02983914177756,0.3175179003236257
49,4,Textiles,63.86048986904278,44.218521048483794,10.97799670758839,0.21736922157594155,8.436217508243478,0.010385383151239118
49,5,Leather,11.191841156107834,6.10887817178931,1.9575745326110623,0.009959997679186127,3.111709036557668,0.003719417470623869
49,6,Wood,7.805453621415433,4.4749371137767815,2.235322081760892,0.02120578255172536,1.0716889689325118,0.002299674393526063
49,7,Paper,57.175671453153385,38.00484407108068,11.487104049676248,0.4322523676811053,7.238525498974587,0.012945465740805151
49,8,Refined fuels,1134.1275972522537,711.641833332254,345.52037502269616,1.3072199865663723,75.42450154655995,0.2336673641785451
49,9,Chemicals,1316.099733886634,790.1408381380136,420.3743183996515,3.8938801493964914,101.41826461564841,0.27243258392499203
49,10,Rubber,150.86905228873573,91.6776090775986,29.396324644772132,1.51978368632169,28.188624882555935,0.08670999748737926
49,11,Other minerals,155.9272492788345,115.06557006735193,23.889184229368098,1.0186467493105487,15.88042607134673,0.07342216145721464
49,12,Metals,11920.857443056871,6569.205954750392,4290.7096228342825,16.580152603365946,1039.596780230658,4.764932638185388
49,13,Other machinery,316.7163997226356,239.04621485740995,40.44150384088776,0.5749709604422133,36.520482570238144,0.13322749365752784
49,14,Electricals,300.0683094478954,259.8428706585489,18.032886328429356,0.2506843547836274,21.877283203455207,0.06458490267826965
49,15,Transport equipment,676.2872899938079,507.541711803406,46.313210865040226,1.1895629033631823,120.87380031627427,0.3690041057233064
49,16,Other manufacturing,34.80452372269924,27.19608845623451,0.22388778310449678,0.0020473319355591335,7.350528287932596,0.03197186349205436
49,17,Utilities,122.03369395530993,81.2004677979624,28.958002643655103,0.37023568028761444,11.463846716403872,0.04114111700090113
49,18,Construction,103.94038277401661,78.39948509932651,13.767052679640662,0.07220545043480071,11.65864192598203,0.042997618632537926
49,19,Sale of motor vehicles,21.299015862620326,15.778035146389808,3.098270047928792,0.023476536685317063,2.392807001194561,0.006427130421851679
49,20,Wholesale trade,3315.023784695444,2411.9174507018042,688.2306512091259,4.575444607834308,209.9412731084933,0.3589650681869045
49,21,Retail trade & repair,404.7627491883338,320.0811768858399,57.88010566667369,0.4288695515006558,26.316284146049796,0.056312938269451475
49,22,Hotels & restaurants,0,0,0,0,0,0
49,23,Inland transport,2014.2526801331746,1332.0954492640826,460.394231508842,2.1533309883587703,218.9379017385013,0.6717666333902883
49,24,Water transport,13.291463245253498,6.76375981908632,5.02715121151865,0.017646754261612854,1.480364649810565,0.0025408105763541945
49,25,Air transport,148.8201964445711,95.89143047264835,28.621044669907004,0.09127276842439422,24.15728127651049,0.059167257081130895
49,26,Other transport services,222.64846190028769,133.14415661071507,74.28929219202196,0.25071699143395626,14.929283912528769,0.035012193587942664
49,27,Telecommunications,88.57062727880313,65.54312932305407,16.18410399339788,0.037103925802630146,6.7943587102887175,0.01193132625982542
49,28,Finance,201.31531775796793,145.79581094135074,48.024867743351706,0.09725366953774423,7.384528713555068,0.012856690172867058
49,29,Real estate,42.58786371032888,33.796355488056506,7.413959355365184,0.019667444037073423,1.3540062502308612,0.003875172639216558
49,30,Other business services,290.3687894784238,178.71656462441146,79.0706336048527,0.17223664529218297,32.34285188492896,0.0665027189388575
49,31,Public administration,0,0,0,0,0,0
49,32,Education,10.451286277714235,8.341139254667269,1.4180122249905074,0.0022098049059835,0.6882015866146485,0.0017234065358290734
49,33,Social work,2.021522985881311,1.489807615062424,0.16325688833078933,2.4544787202765883e-4,0.3671116421221352,0.0011013924939364396
49,34,Other personal services,203.050305379818,164.78881284813033,20.157165135740517,0.09332700328758033,17.965724849054517,0.0452755436048097
49,35,Private households,0,0,0,0,0,0
49,0,Aggregate,66778.60336596672,35583.4148549612,25004.45315842263,70.51912674196852,6099.278016557969,20.938209282947632
